Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"A Barbosa","Produção parlamentar municipal: a lógica do comportamento dos vereadores brasileiros quanto à utilização dos instrumentos legislativos",,"repositorio.ufba.br","","https://repositorio.ufba.br/handle/ri/27588","",877,"2022-11-14 12:38:01","","","","",,,,,0,0.00,0,1,,"… coeficiente eleitoral, capital social e despesa de campanha. … como instrumento que limita receitas e despesas em áreas … só eram conhecidas pelas reuniões eleitorais nos pátios das …","https://repositorio.ufba.br/bitstream/ri/27588/1/Tese%20Alan%20Rangel%20Barbosa%20%20-%20Setembro%202018.pdf","https://scholar.google.com/scholar?q=related:myZ8e04lPRsJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
31,"A Borges","Eleições presidenciais, federalismo e política social",2013,"Revista Brasileira de Ciências Sociais","SciELO Brasil","https://www.scielo.br/j/rbcsoc/a/4RDGTvSP5bXRmmR8LrDnt4w/abstract/?lang=pt","https://scholar.google.com/scholar?cites=16983100353498861322&as_sdt=2005&sciodt=2007&hl=en",384,"2022-11-14 12:38:01","","","","",,,,,31,3.44,31,1,9,"… mais pobres seria resultado de mecanismos clientelistas … Não por acaso, quando da sua campanha presidencial em … e municipal (25% do total de receitas dos estados e municípios) ao …","https://www.scielo.br/j/rbcsoc/a/4RDGTvSP5bXRmmR8LrDnt4w/?format=pdf&lang=pt","https://scholar.google.com/scholar?q=related:Ck8ci8oXsOsJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
31,"A Borges","Federalismo, dinâmica eleitoral e políticas públicas no Brasil: uma tipologia e algumas hipóteses",2010,"Sociologias","SciELO Brasil","https://www.scielo.br/j/soc/a/BrJcpxBR6HzPMrD75dqjx3w/?lang=pt&format=html","https://scholar.google.com/scholar?cites=1641591555154696404&as_sdt=2005&sciodt=2007&hl=en",504,"2022-11-14 12:38:01","HTML","","","",,,,,31,2.58,31,1,12,"… entre políticas sociais e resultados eleitorais em uma democracia … ilícitos para levantar recursos para campanha e busca do … a capacidade de extração de receitas do governo. Não se …","https://www.scielo.br/j/soc/a/BrJcpxBR6HzPMrD75dqjx3w/?lang=pt&format=html","https://scholar.google.com/scholar?q=related:1NhGZ9IayBYJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
0,"A Cardoso","O sistema democrático por representação na perspectiva do orçamento participativo",2020,"","lume.ufrgs.br","https://www.lume.ufrgs.br/handle/10183/221917","",603,"2022-11-14 12:38:01","","","","",,,,,0,0.00,0,1,2,"… os resultados das eleições municipais de 2016, as primeiras após a reforma, não parecem animadores: a concentração das fontes de doação de campanha … suas receitas conforme as …","https://www.lume.ufrgs.br/bitstream/handle/10183/221917/001125611.pdf?sequence=1","https://scholar.google.com/scholar?q=related:O8uESzV7krYJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
0,"A Chaves, D Abreu, LRC de Oliveira, C Marques, ...","As (difusas) fronteiras entre a política eo mercado",,"academia.edu","","https://www.academia.edu/download/51683484/2004_Scotto_difusas_fronteiras_entre_a_politica_e_o_mercado.pdf","",691,"2022-11-14 12:38:01","PDF","","","",,,,,0,0.00,0,5,,"… ser sua existência o resultado de um processo inevitável, e … e receitas a todos os que procuram atuar no campo eleitoral, … o marketing político e seu papel numa campanha eleitoral é …","https://www.academia.edu/download/51683484/2004_Scotto_difusas_fronteiras_entre_a_politica_e_o_mercado.pdf","https://scholar.google.com/scholar?q=related:bFGmZwxnYjMJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
1,"A Codato, M Carlomagno","Poder social e poder político: como ocupação, gênero, patrimônio e dinheiro se combinam nas eleições para deputados federais",2018,"Tratado de Direito Eleitoral","researchgate.net","https://www.researchgate.net/profile/Adriano-Codato/publication/322632161_Poder_social_e_poder_politico_como_ocupacao_genero_patrimonio_e_dinheiro_se_combinam_nas_eleicoes_para_deputados_federais_Social_power_and_political_power_occupation_gender_estate_and_money_in_the_ele/links/5a64dd140f7e9b6b8fdbc995/Poder-social-e-poder-politico-como-ocupacao-genero-patrimonio-e-dinheiro-se-combinam-nas-eleicoes-para-deputados-federais-Social-power-and-political-power-occupation-gender-estate-and-money-in-th.pdf","https://scholar.google.com/scholar?cites=16352092074961982733&as_sdt=2005&sciodt=2007&hl=en",153,"2022-11-14 12:38:01","PDF","","","",,,,,1,0.25,1,2,4,"… Receita de campanha é um dos principais ativos eleitorais no … Os resultados estão organizados no Gráfico 2. Os valores nas … da política subnacional: a forma como o dinheiro é gasto …","https://www.researchgate.net/profile/Adriano-Codato/publication/322632161_Poder_social_e_poder_politico_como_ocupacao_genero_patrimonio_e_dinheiro_se_combinam_nas_eleicoes_para_deputados_federais_Social_power_and_political_power_occupation_gender_estate_and_money_in_the_ele/links/5a64dd140f7e9b6b8fdbc995/Poder-social-e-poder-politico-como-ocupacao-genero-patrimonio-e-dinheiro-se-combinam-nas-eleicoes-para-deputados-federais-Social-power-and-political-power-occupation-gender-estate-and-money-in-th.pdf","https://scholar.google.com/scholar?q=related:DdWW5hpN7uIJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
0,"A Codato, M Lorencetti","SUCESSO ELEITORAL NAS DISPUTAS MUNICIPAIS NO ESTADO DE SÃO PAULO EM 2012 E SUAS VARIÁVEIS CONDICIONANTES",,"researchgate.net","","https://www.researchgate.net/profile/Adriano-Codato/publication/296332734_Sucesso_eleitoral_nas_disputas_municipais_no_estado_de_Sao_Paulo_em_2012_e_suas_variaveis_condicionantes/links/56d48aa108ae2cd682b93ad3/Sucesso-eleitoral-nas-disputas-municipais-no-estado-de-Sao-Paulo-em-2012-e-suas-variaveis-condicionantes.pdf","",297,"2022-11-14 12:38:01","PDF","","","",,,,,0,0.00,0,2,,"… ser mulher teria que peso nos resultados dessa disputa? Ser … e a estar entre os não eleitos quando a receita de campanha … ) para serem investidos nas campanhas eleitorais. Em São …","https://www.researchgate.net/profile/Adriano-Codato/publication/296332734_Sucesso_eleitoral_nas_disputas_municipais_no_estado_de_Sao_Paulo_em_2012_e_suas_variaveis_condicionantes/links/56d48aa108ae2cd682b93ad3/Sucesso-eleitoral-nas-disputas-municipais-no-estado-de-Sao-Paulo-em-2012-e-suas-variaveis-condicionantes.pdf","https://scholar.google.com/scholar?q=related:Jq2Ld0I8Dh8J:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
0,"A Ferreira Verner","Com o que se gasta ao fazer campanha nas capitais brasileiras? Um estudo sobre a disputa eleitoral de 2020.",2021,"Revista Compolítica","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=22364781&AN=157975115&h=CKbPSSyfeKtGfv%2FoSa%2BIE4tmXPlB5A7c%2BT5arCK%2FxBPJ5W6oplRd58KTaZTWJzAt%2BXfzCI%2Ffpk3qEQ3yGdACUQ%3D%3D&crl=c","",254,"2022-11-14 12:38:01","","","","",,,,,0,0.00,0,1,1,"… a disputa nos grandes colégios eleitorais de cada um dos … e (2) financiamento das campanhas políticas, a participação … ” em gastos tradicionais por parte de membros da elite política. …","",""
0,"A Fraser","2016 em museus, dinheiro e política: introdução",,"Lugar Comum–Estudos de mídia, cultura e democracia","revistas.ufrj.br","https://revistas.ufrj.br/index.php/lc/article/download/40880/22272","",573,"2022-11-14 12:38:01","PDF","","","",,,,,0,0.00,0,1,,"… incluídas neste estudo tiveram receitas totais combinadas de … representadas como resultado de forças econômicas e sociais, … de campanha nos últimos dois ciclos de eleições gerais …","https://revistas.ufrj.br/index.php/lc/article/download/40880/22272","https://scholar.google.com/scholar?q=related:7xg5QZouJYkJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
0,"A Ghizzo Neto","A educação como instrumento de ação coletiva no combate à corrupção",2020,"","gredos.usal.es","https://gredos.usal.es/handle/10366/145263","",921,"2022-11-14 12:38:01","","","","",,,,,0,0.00,0,1,2,"… os resultados esperados, seja pela falta de uma efetiva política … nos meandros da corrupção eleitoral, para muitos … outros, nos financiamentos de campanhas eleitorais, “Caixa 2”, etc…","https://gredos.usal.es/bitstream/handle/10366/145263/Ghizzo%20Neto,%20Affonso.pdf?sequence=1","https://scholar.google.com/scholar?q=related:S6ZKk8GL_qsJ:scholar.google.com/&scioq=gasto+de+campanha+receita+de+campanha+resultados+eleitorais+investimento+eleitoral+financiamento+eleitoral+financiamento+pol%C3%ADtico+campanhas+eleitorais&hl=en&as_sdt=2007"
