remover,id,link,formato,titulo,abstract,periodico,ano_artigo,paginas,defasagem,citacoes,n_autores,autor_n,uni_autor,estado_uni_autor,area_autor,sex_autor,ano_eleicao,n_eleicoes,localidade,cargo,nivel_eleicao,n_observacoes,pais,v_dependente,v_independente,n_controles,controles,hipotese_pesquisa,tipologia_gastos_de_campanha,abordagem_metodologica,tec_pesquisa,n_tecnicas,n_parametros_modelo,var_interveniente,desc_score_beta,score_beta,score_pvalor_modelo,score_pvalor_betas,replication,disponibilizacao_dos_dados,disponilidade_data_sharing,orientador_autor,ppg_doutorado_autor,ppg_msc_autor,formacao_autor,local_formacao_autor,tempo_doutoramento_autor,n_artigos_pub_autor,n_artigos_pub_qualis_superior_autor
1,1,https://www.scielo.br/j/rsocp/a/mYrTKcMNsMBGQGkbpBBFfTP/abstract/?lang=pt,digital,Conflito político e instituições orçamentárias: aprofundando a democracia no Brasil,"A maioria das democracias combina práticas democráticas e autoritárias, criando um subtipo híbrido. O presente projeto examina variações no grau de democracia e busca suas causas na federação brasileira. Em particular, o projeto examina variações no grau em que atores fora do poder Executivo, especialmente legisladores e a sociedade civil, conseguem desempenhar um papel afirmativo no processo orçamentário. Os orçamentos são com freqüência atribuídos por lei a legisladores, pelo menos em termos de autorização e supervisão; contudo, a maioria dos titulares do poder Executivo monopoliza a capacidade institucional, política e técnica para desempenhar um papel poderoso no complexo processo de administração dos recursos públicos. No Brasil, contudo, há evidências de uma crescente afirmação do poder Legislativo e de práticas democráticas em algumas regiões; essa tendência reflete processos mais amplos de aprofundamento democrático. O presente projeto examina algumas das condições para o aprofundamento democrático no Brasil, um país que retornou formalmente à democracia em 1985 mas consolidou um sistema federal de democracia desigual. Para identificar as condições que levam ao aprofundamento democrático, o estudo destaca tendências em quatro estados: dois onde ocorreu o aprofundamento e dois onde isso não se deu. O projeto demonstra o curioso resultado de que as condições políticas, especialmente os níveis e tipos de conflito político, determinam o grau de democracia, como é expressado no processo orçamentário. PALAVRAS-CHAVE: processo orçamentário; democracia; democratização; conflito político.",revista de sociologia e política,2005,19,17,19,1,Aaron Schneider,-,-,,1,"1986, 1990, 1994, 1998, 2002",5,estados,governo,estadual,-,Brasil,-,-,-,-,-,-,discussão teórica,-,-,-,-,,,-,-,-,-,-,,,,,,,,
0,2,http://www12.senado.leg.br/ril/edicoes/54/216/ril_v54_n216_p87,digital,Financiamento eleitoral por pessoas jurídicas: a influência do poder econômico sobre a democracia,"Resumo: O presente artigo aborda as doações de pessoas jurídicas em campanhas eleitorais com base na decisão proferida pelo Supremo Tribunal Federal no julgamento da ADI 4.650/DF, por meio da qual foram declarados inconstitucionais os dispositivos da Lei dos Partidos Políticos e da Lei das Eleições, que permitiam aos partidos e candidatos arrecadar recursos provenientes de empresas. Assim, são analisados: os principais argumentos contidos nos votos proferidos no sentido da tese vencedora; as possíveis disfunções decorrentes da decisão, como o potencial aumento da desigualdade entre os candidatos, o acirramento da crise de representatividade vivida no Brasil e o eventual estímulo às doações não declaradas, ou seja, ao “caixa dois”; e, ainda, as distinções entre uso e abuso do poder econômico. Ao final, são apresentadas sugestões na tentativa de contribuir para o debate acerca da melhoria do financiamento eleitoral no País. Palavras-chave: Financiamento eleitoral. Doações de empresas. Poder econômico. Uso e abuso",revista de informação legislativa,2017,18,5,4,2,"ANDRÉ GUILHERME LEMOS, JORGE MICHEL BERTONI SOARES","PUCSP,  MACKENZIE","SP, SP",,1,-,0,-,-,-,-,Brasil,-,-,-,-,-,-,discussão teórica,-,-,-,-,,,-,-,-,-,-,,,,,,,,
1,3,https://www.scielo.br/j/rieb/a/WxtBNXgtwwc9GZmxvCTwPmP/abstract/?lang=pt,digital,"A Era Lula e sua questão econômica principal: crescimento, mercado interno e distribuição de renda","Resumo O presente texto procura jogar luz sobre o que se julga ser a característica distintiva da Era Lula em termos econômicos: uma maior sintonia entre objetivos econômicos e sociais. A hipótese com a qual se trabalha é a de que o conteúdo social do desenvolvimento brasileiro, ensaiado na Era Lula, é não apenas defensável do ponto de vista moral, como também se mostra a melhor alternativa econômica diante das dificuldades e limitações enfrentadas pelo Brasil atualmente. As seções do texto tratam, na sequencia, do contexto histórico a envolver essas questões; dos bons resultados do governo Lula (2003- 2010); das dificuldades e reações no mandato de Dilma (pós-2011) e, por fim, de algumas ideias e prioridades para renovar e aprofundar este “social-desenvolvimentismo”. Palavras-chave Era Lula, estratégia de desenvolvimento, crescimento, justiça social.",revista do instituto de estudos brasileiros,2014,26,8,54,1,André M. Biancarelli,UNICAMP,SP,,1,-,-,-,-,-,-,Brasil,-,-,-,-,-,-,discussão teórica,-,-,-,-,,,-,-,-,-,-,,,,,,,,
0,4,https://www.scielo.br/j/op/a/kjvHkxtSqcdNwB46Zrhc5pc/,digital,Os presidenciáveis no debate ideológico: análise de conteúdo dos programas econômicos nas eleições de 2018,"As eleições de 2018 demarcaram a emersão de importantes alterações no cenário político brasileiro com a chegada de Jair Bolsonaro ao Planalto, colocando em evidência o perene debate da classificação ideológica dos partidos brasileiros. Nessa via, objetiva-se alocar, na escala esquerda-centro-direita, os partidos dos quatro primeiros colocados na disputa presidencial, mobilizando seus planos de governo ao setor econômico, por meio de uma abordagem qualitativa, tendo como ferramenta a análise de conteúdo. Assenta-se na metodologia empreendida o diferencial do presente artigo, em face do predominante exercício quantitativo nos trabalhos de semelhante intento. Observando a construção das ideias dos programas, podem-se classificar os programas de esquerda (PT e PDT), direita (PSL) e expor a flutuação do programa do PSDB entre o centro e a direita. Palavras-chave: classificação ideológica; análise de conteúdo; planos econômicos; esquerda; direita",opinião pública,2022,29,1,0,2,"Alison Ribeiro Centeno, Taiane Fabiele da Silva Bringhenti",pucrs,RS,,"1,2",2018,1,brasil,presidente,federal,-,Brasil,,-,-,-,-,-,analise de conteúdo,-,-,-,-,,,-,-,-,-,-,,,,,,,,
0,5,https://www.scielo.br/j/rbcpol/a/4F6dk9pDX5dc4j7H7QzZTrc/abstract/?lang=pt,digital,Padrões de financiamento eleitoral no Brasil: as receitas de postulantes à Câmara dos Deputados em 2010 e 2014,"A partir de 2006, quando o Tribunal Superior Eleitoral (TSE) tornou públicas, por meio digital, as prestações de contas de candidatos, partidos e comitês, houve um crescimento significativo no volume de trabalhos que analisam o financiamento de campanhas no Brasil. Todavia, com o protagonismo assumido pelas empresas, a importância e o impacto das demais receitas têm sido pouco abordados. O objetivo aqui é preencher 110 Bruno Fernando da Silva e Emerson Urizzi Cervi parte dessa lacuna, detalhando o quanto cada uma das fontes de recurso contribui para o total arrecadado e quanto os competidores diferem-se em volume de financiamento. Para isto, foram analisadas as contas eleitorais de candidatos à Câmara dos Deputados nas eleições gerais de 2010 e 2014. Metodologicamente, conjugou-se estatística descritiva e testes de diferenças de médias. Os resultados indicam que o desempenho eleitoral está associado não somente ao volume de receitas, mas também à elevada presença de alguns tipos de doadores, como pessoas jurídicas e partidos. O posicionamento em relação ao governo federal, entretanto, afeta o montante arrecadado, mas não é um bom critério para avaliar a forma com que os candidatos são financiados. Palavras-chave: financiamento de campanhas; receitas eleitorais; eleições 2010 e 2014; Câmara dos Deputados, Brasil",revista brasileira de ciência política,2017,36,5,31,2,"Bruno Fernando da Silva, Emerson Urizzi Cervi","UFMG, UFPR","MG, PR",,"1,1","2010, 2014",2,estados,dep fed,estadual,-,Brasil,desempenho eleitoral,gastos de campanha,0,0,-,-,descritiva,anova,1,-,-,,,-,-,-,-,-,,,,,,,,
0,6,https://www.scielo.br/j/rsocp/a/gJjGncdBnLT7Xxh6TsLK55s/abstract/?lang=pt,digital,Pesquisas eleitorais afetam receitas de campanha: a correlação entre expectativa de vitória e financiamento de campanha em disputas ao Senado,"RESUMO Introdução: Este artigo trata do financiamento de campanhas no Brasil. Embora não faltem evidências de que as arrecadações de campanha estão associadas ao sucesso eleitoral, pouco se sabe sobre o quanto a intenção de voto pode afetar o montante arrecadado pelos candidatos. Nosso objetivo é investigar este fenômeno. Materiais e Métodos: A análise empírica foi realizada com dados de prestações de contas eleitorais dos 134 candidatos ao Senado Federal em 2014 e com resultados de pesquisas de intenção de voto do instituto IBOPE. Utilizamos como ferramentas de análise estatísticas descritivas e regressão linear múltipla. Resultados: Os resultados atestam o impacto positivo das intenções de voto aferidas nas sondagens pré-eleitorais e do apoio do governador sobre as arrecadações totais. Já ser mandatário e candidato à reeleição (incumbency) foi um fator ineficaz para a explicação de quase todas as receitas. Discussão: Em virtude da associação encontrada entre intenção de voto e financiamento eleitoral, alertamos para a necessidade de considerar a existência de endogenia na relação entre dinheiro e voto nas disputas majoritárias, visto que as variáveis são mutuamente afetadas. Além disso, sugerimos que a relação entre viabilidade do candidato e financiamento eleitoral reafirma a ideia de que os doadores agem de maneira estratégica ao definir quais candidatos devem apoiar. Nesse sentido, doadores optam por candidaturas viáveis que contam com apoios políticos relevantes e oferecem, assim, menos riscos de derrota. PALAVRAS-CHAVE: financiamento de campanhas; expectativa de vitória; pesquisas eleitorais; Senado; eleições de 2014",revista de sociologia e política,2020,17,2,3,2,"Bruno Fernando da Silva, Ricardo Dantas Gonçalves","UFMG, UFPR","MG, PR",,"1,1",2014,1,mg,senador,estadual,134,Brasil,receitas de campanha,pesquisas eleitorais,6,"incumbencia, apoio, intenção de voto*incumbencia, intenção de voto*apoio, partido grande, sexo","candidatos com elevado índice de intenção de voto, apoiados pelo governador e que concorrem à reeleição são mais bem financiados no total e por empresas do que os demais",-,inferencial,regressão linear,1,7,"Intençao de voto * Incumbency, Intenção de voto * apoio,",,,,"136.767***, 68.470***, 70.279***, 47.392***, 34.317***, 24.134***, 5.897***, 9.077***, 4.831***, 6.526***",0,-,-,,,,,,,,
0,7,https://revistas.ufpr.br/sclplr/article/view/64718,digital,FINANCIAMENTO DE CAMPANHAS EM DISPUTAS MUNICIPAIS: UMA ANÁLISE COMPARATIVA DAS DOAÇÕES A CANDIDATOS A VEREADOR DE CURITIBA EM …,"RESUMO: O trabalho apresenta uma análise empírica sobre os padrões de doações de campanha a candidatos a vereador em duas eleições em Curitiba: 2008 e 2012. Trata-se de uma análise comparativa para testar que características dos candidatos ajudam a entender as variações das receitas declaradas pelos concorrentes. O objetivo é verificar se a condição do candidato, novato ou à reeleição; se a posição do candidato, se em partido do governo ou oposicionista; e o desempenho do candidato, se eleito ou derrotado, ajudam a entender a capacidade de arrecadação de recursos financeiros pelos concorrentes. Portanto, trata-se de um estudo sobre finanças de campanha e não sobre desempenho eleitoral. A hipótese é que candidatos à reeleição têm melhores condições financeiras do que os demais, independentes de serem da oposição ou não. Comparamos duas eleições municipais para verificar se os padrões das finanças de campanha se alteraram no período ou se mantiveram estáveis. Palavras-chave: Financiamento de Campanha; Candidatos a vereador; Curitiba; 2008; 2012",sociologias plurais,2014,20,8,0,2,"Bruno Fernando da Silva, Emerson Urizzi Cervi","UFMG, UFPR","MG, PR",,"1,1","2008, 2012",2,curitiba,vereador,municipal,indisponível,Brasil,receitas de campanha,status do candidato,2,"posição, condição","candidatos à reeleição têm melhores condições financeiras do que os demais, independentes de serem da oposição ou não",-,inferencial,regressão linear,1,3,-,"resultado, posição, condição, resultado, posição, condição,","-0.361, 0.012, 0.249, -0.387, -.090, 0.261",não reporta,"0.000, 0.736, 0.000, 0.000, 0.007, 0.000",0,0,0,,,,,,,,
0,8,https://www.scielo.br/j/rap/a/yTqwGSm7HPwJVFNq95g7QdH/abstract/?lang=pt,digital,O investimento público influencia na reeleição? Um estudo empírico nos municípios do estado do Espírito Santo,"A literatura econômica tem debatido os efeitos dos gastos públicos sobre as chances de recondução dos governantes, apontando que os eleitores tendem a avaliar com um maior peso a performance dos políticos tendo por base seu desempenho no período pré-eleitoral (miopia política). Nesse contexto, este trabalho investiga a influência dos investimentos públicos sobre a recondução dos prefeitos dos municípios do estado do Espírito Santo, entre 2001 e 2012. Por meio da metodologia de regressão logística, os resultados sugerem que os eleitores capixabas, de modo geral, premiam os prefeitos que promovem incrementos relativos de investimentos públicos no período próximo às eleições, o que se mostra consistente com a literatura mais recente de ciclos políticos e de comportamento eleitoral, embora não tenha havido a comprovação empírica de que os eleitores sejam conservadores sob a ótica fiscal. Palavras-chave: ciclos políticos; escolha pública; investimentos públicos; eleições regionais. La inversión pública tiene influencia sobre la reelección? Um estudo empírico em los",revista de administração pública,2018,19,4,26,3,"Bruno Pires Dias, Valcemiro Nossa, Danilo Soares Monte-Mor",,,,"1,1,1","2004, 2008, 2012",3,espírito santo,prefeito,municipal,indisponível,Brasil,reeleição,gastos públicos,8,", Alinhamento com governador, População, População, Investimentos, Resultado Orçamentário, Receita Eleitoral, Capital Político",Os aumentos de investimentos públicos realizados na segunda metade do mandato em relação à primeira metade implicam maiores chances de reeleição do prefeito que disputa a reeleição,-,inferencial,regressão logística,1,8,-,"Alinhamento com presidente, Alinhamento com governador, população, idhm, investimentos, resultado orçamentário, receita elitoral, capital político, Alinhamento com presidente, Alinhamento com governador, população, idhm, investimentos, resultado orçamentário, receita elitoral, capital político,Alinhamento com presidente, Alinhamento com governador, população, idhm, investimentos, resultado orçamentário, receita elitoral, capital político, ","0.13, 0.52, 0.000, -4.77, 9.32, -2.32, 1.81, 0.02, 0.14, 0.47, 0.000, - 3.63, 6.83, -1.49, 2.00, 0.02, -0.23, 0.35, 0.000, -4.48, 6.53, -2.45, 1.85, 0.02",não reporta,"0.800, 0.138, 0.809, 0.037**, 0.010***, 0.142, 0.749, 0.116, 0.870, 0.049, 0.017, 0.445, 0.001, 0.063, 0.588, 0.233, 0.991, 0.015, 0.023, 0.204, 0.002, 0.034",0,0,0,,,,,,,,
0,9,https://www.scielo.br/j/op/a/FyJ3Gt43nWpbRvxPVY7QJJs/,digital,Questionando a tese da cartelização: o financiamento das organizações partidárias no Brasil (1998-2016),"O artigo analisa o financiamento das organizações partidárias no Brasil, no período de 1998 a 2016. Recorrendo a técnicas de estatística descritiva, tratamos do papel dos recursos públicos, das doações de empresas privadas, das contribuições dos filiados e dos parlamentares. Questionamos a aplicabilidade da tese da cartelização dos partidos ao caso brasileiro, mostrando que o modelo de distribuição dos recursos públicos promove a fragmentação, não a cartelização, do sistema partidário. Constatamos que o setor privado não mantém vínculos orgânicos com partidos que representam seus interesses, mas age de forma pragmática. Concentra as doações nos partidos que disputam as eleições para presidente, com ampla vantagem para o partido que ocupa a Presidência. Nem os filiados nem os parlamentares contribuem significativamente para o orçamento dos partidos no Brasil. Palavras-chave: financiamento partidário; cartelização; filiação partidária; fundo partidário; financiamento privad",opinião pública,2022,37,1,1,2,"Bruno Wilhelm Speck, Mauro Macedo Campos","USP, UENF","SP, RJ",,"1,1","1998, 2002, 2004, 2006, 2008, 2010,  2012, 2014, 2016",9,brasil,-,federal,,Brasil,-,-,-,-,-,-,descritiva,-,-,-,-,,,-,-,-,-,-,,,,,,,,
0,10,https://www.scielo.br/j/rsocp/a/gCsTkrpnNvqRJBWM7Mgyptt/abstract/?lang=pt,digital,"Trajetórias políticas e chances eleitorais: analisando o"" gênero"" das candidaturas em 2010","O artigo apresenta os resultados principais de um survey com candidatos ao cargo de Deputado Federal, conduzido no âmbito da investigação realizada pelo Consórcio Bertha Lutz durante as eleições de 2010. Com base em um questionário constando perguntas relativas a diferentes dimensões individuais e institucionais em relação aos partidos, analisa-se dimensões como trajetórias políticas e eleitorais, estratégias, recursos e dificuldades de campanhas. Em seguida, por meio de determinados procedimentos metodológicos de aglomeração de variáveis, procura-se analisar perfis de eleitos e não eleitos. O objetivo é identificar como o gênero perpassa e apresenta-se em possíveis variáveis intervenientes nesses perfis. Como os resultados mostram, há varias dimensões nas quais a categoria gênero faz-se presente, de maneira direta ou indireta, em geral, antes do momento eleitoral em si. O processo eleitoral seria, assim, o resultado de um filtro que antecede mesmo o recrutamento. Conclui-se que os perfis de eleitos, homens ou mulheres, são semelhantes, mas, considerando que os homens são amplamente majoritários entre os eleitos, podese dizer que tais perfis são fruto de uma estrutura ainda marcada por desigualdades e por valores diferenciados por gênero",revista de sociologia e política,2013,24,9,49,2,"Clara Araujo, Doriam Borges","UERJ, UERJ","RJ, RJ",,"2,1",2010,1,brasil,dep fed,estadual,517,Brasil,-,-,-,-,-,-,qualitativa,survey,1,-,-,,,-,-,-,-,-,,,,,,,,
